project_key,summary,assignee,status,health,created,updated,discovery_first_generative_discovery_date,discovery_first_build_date,discovery_calendar_cycle_weeks,discovery_active_cycle_weeks,discovery_weeks_excluded,build_first_build_date,build_first_beta_or_live_date,build_calendar_cycle_weeks,build_active_cycle_weeks,build_weeks_excluded,discovery_effort,build_effort,build_complete_date,teams
HT-527,Setpoint | SFTP Push for Analytics,Robert J. Johnson,02 Generative Discovery,Unknown,2025-09-03T15:09:11.909-0400,2025-09-10T10:41:29.922-0400,2025-09-10T10:41:22.455-0400,,-0.14,0,-0.14,,,,,0,,1.0,,Data
HT-534,Marketing | Lead Value Score Model - FICO Version,Robert J. Johnson,05 Solution Discovery,On Track,2025-09-09T14:51:31.885-0400,2025-09-10T10:30:39.210-0400,2025-09-10T10:26:52.792-0400,,-0.14,0,-0.14,,,,,0,,,,Data
HT-399,AI | Homechat for Capital ,Robert J. Johnson,07 Beta,On Track,2025-06-18T12:56:24.221-0400,2025-09-10T10:30:21.771-0400,2025-07-29T13:43:41.213-0400,2025-08-06T13:56:17.120-0400,1.14,1.0,0.14,2025-08-06T13:56:17.120-0400,2025-09-10T10:30:21.771-0400,4.86,4.86,0.0,,2.0,2025-08-20,Data
HT-491,Title Insurance (Hub),Lizzy Magill,05 Solution Discovery,On Track,2025-07-31T17:13:21.100-0400,2025-09-10T09:32:44.843-0400,2025-07-31T17:13:51.787-0400,,5.71,5.57,0.14,,,,,0,,4.0,,MK2
HT-490,DigiFi Slice 10 | Title,Lizzy Magill,02 Generative Discovery,On Track,2025-07-31T17:06:23.924-0400,2025-09-10T09:25:07.336-0400,2025-07-31T17:07:38.273-0400,,5.71,5.71,0.0,,,,,0,,,,
HT-475,LOS S17 | Offer & Signing Date,Garima Giri,06 Build,On Track,2025-07-17T17:11:06.878-0400,2025-09-10T09:23:30.604-0400,2025-08-06T14:17:53.006-0400,2025-09-10T09:15:39.152-0400,4.86,4.71,0.14,2025-09-10T09:15:39.152-0400,,-0.14,0,-0.14,,3.0,2025-10-02,GM2
HT-492,Update Default HPA,asigel@hometap.com,06 Build,At Risk,2025-08-05T12:53:46.085-0400,2025-09-10T09:22:22.472-0400,2025-08-27T14:16:03.968-0400,2025-08-27T14:23:43.924-0400,0.0,0,0.0,2025-08-27T14:23:43.924-0400,,1.86,1.86,0.0,,1.0,2025-10-01,Tiger
HT-390,LOS S9 | Webhook Handler for Reggora Events,Greg Mundy,06 Build,Off Track,2025-06-06T14:43:34.508-0400,2025-09-10T08:50:19.881-0400,2025-06-06T14:54:22.473-0400,2025-08-06T12:51:44.331-0400,8.57,8.43,0.14,2025-08-06T12:51:44.331-0400,,4.86,4.86,0.0,,3.0,2025-09-18,GM1
HT-391,LOS S9 | Service to Handle FraudGuard Documents,Greg Mundy,04 Problem Discovery,On Track,2025-06-06T14:44:25.669-0400,2025-09-10T08:49:54.732-0400,2025-06-06T14:49:03.870-0400,,13.57,13.43,0.14,,,,,0,,3.0,,GM1
HT-45,Test 2,asigel@hometap.com,03 Committed,Unknown,2024-09-09T11:01:43.344-0400,2025-09-10T06:31:09.465-0400,,,,,0,,,,,0,,2.0,2025-05-02,Canada
HT-37,Inquiry Conversion for users with no up-to amount ,Jennie Goldenberg,03 Committed,Unknown,2024-08-30T06:31:22.698-0400,2025-09-10T06:31:09.442-0400,,,,,0,,,,,0,,2.0,,State Farm
HT-47,Snowflake IP Address Whitelisting,Robert J. Johnson,03 Committed,Unknown,2024-09-09T14:16:10.758-0400,2025-09-10T06:31:09.152-0400,,,,,0,,,,,0,,1.0,,Data
HT-50,Experian Ascend API Migration,Robert J. Johnson,03 Committed,On Hold,2024-09-10T09:26:03.034-0400,2025-09-10T06:31:08.912-0400,,,,,0,,,,,0,,3.0,,Data
HT-48,Marital States | Enhance Application,Garima Giri,03 Committed,Unknown,2024-09-10T09:12:26.186-0400,2025-09-10T06:31:08.810-0400,,,,,0,,,,,0,,3.0,,State Farm
HT-49,LTV/CLTV Source of Truth,Robert J. Johnson,03 Committed,Unknown,2024-09-10T09:24:54.451-0400,2025-09-10T06:31:08.707-0400,,,,,0,,,,,0,,2.0,,"Canada, Data"
HT-59,Enhanced Risk Evaluation,Robert J. Johnson,03 Committed,On Track,2024-09-11T11:12:45.375-0400,2025-09-10T06:31:08.159-0400,,,,,0,,,,,0,,3.0,,Data
HT-91,HED | Featured Offers Page Revamp,asigel@hometap.com,03 Committed,Unknown,2024-09-23T11:47:21.266-0400,2025-09-10T06:31:06.820-0400,,,,,0,,,,,0,,3.0,,Star
HT-100,PDF | Underwriting Calculator,,03 Committed,Unknown,2024-09-30T09:56:48.407-0400,2025-09-10T06:31:06.130-0400,,,,,0,,,,,0,,3.0,,Canada
HT-142,Quarterly Account Statements: Co-app Backfill,Robert J. Johnson,03 Committed,Unknown,2024-10-16T09:43:35.251-0400,2025-09-10T06:31:04.447-0400,,,,,0,,,,,0,,2.0,,Data
HT-145,Self-Serve Appraisal Type,Jacqueline Gallagher,03 Committed,On Hold,2024-10-18T08:41:06.042-0400,2025-09-10T06:31:04.416-0400,,,,,0,,,,,0,,2.0,,GM2
HT-203,Clear Capital Integration,Robert J. Johnson,03 Committed,On Hold,2024-12-04T14:30:08.746-0500,2025-09-10T06:31:01.327-0400,2025-06-04T14:36:01.840-0400,,13.86,13.71,0.14,,,,,0,,3.0,,Data
HT-205,Marketplace Integrations | Re-Enable Acorn,asigel@hometap.com,03 Committed,Unknown,2024-12-09T11:30:56.680-0500,2025-09-10T06:31:01.224-0400,,,,,0,,,,,0,,3.0,,State Farm
HT-238,LOS | IDP for Homeowner User Management,Jennie Goldenberg,03 Committed,Unknown,2025-01-08T16:06:54.643-0500,2025-09-10T06:31:00.721-0400,,,,,0,,,,,0,,,,Canada
HT-248,LOS | Re-factor Risk Data,Robert J. Johnson,03 Committed,Unknown,2025-01-13T15:38:31.086-0500,2025-09-10T06:30:59.570-0400,,,,,0,,,,,0,,,,Architecture
HT-275,Debit card MVP,asigel@hometap.com,03 Committed,Unknown,2025-02-06T08:06:02.113-0500,2025-09-10T06:30:58.622-0400,,,,,0,,,,,0,,5.0,,
HT-339,Test Marketing Idea 2,asigel@hometap.com,03 Committed,Unknown,2025-04-29T13:29:36.345-0400,2025-09-10T06:30:56.530-0400,,,,,0,,,,,0,,1.0,2025-04-29,DEPT
HT-332,LHEI MD | Disclosures,Jacqueline Gallagher,03 Committed,On Hold,2025-04-18T09:58:47.506-0400,2025-09-10T06:30:56.462-0400,2025-04-21T14:30:10.694-0400,,20.14,19.86,0.29,,,,,0,,,,Totoro
HT-367,DQ Flow Definition,Jennie Goldenberg,03 Committed,On Track,2025-05-21T16:59:47.299-0400,2025-09-10T06:30:55.326-0400,,,,,0,,,,,0,,,,Architecture
